user_id,rank,track_name,artist_name,playcount,mbid
1,1,Ice Cream,New Young Pony Club,54,417a3d0b-0291-4e08-b167-50971dbdae36
1,2,Hiding On The Staircase,New Young Pony Club,51,f6ac2fd2-b33b-48ff-a094-537cf530cf20
1,3,Descend,New Young Pony Club,49,33434fd1-79a1-3882-bb31-fbd430815a93
1,4,Air War,Crystal Castles,48,06d3fea3-e806-35ed-9562-aa396a97de14
1,5,Get Lucky,New Young Pony Club,48,ab351b25-7126-3792-9b0d-ce44fd0c0462
1,6,Jerk Me,New Young Pony Club,48,03ec51b2-2417-3602-a868-e73632646b7f
1,7,Love and Caring,Crystal Castles,45,1f269fe8-d6a6-3510-bbcc-70745bf72e8b
1,8,The Get Go,New Young Pony Club,43,85919992-5ff5-3047-9e64-734063c69af8
1,9,Tight Fit,New Young Pony Club,43,7ff991b1-1fdb-3e4a-8425-ce1260b66769
1,10,Courtship Dating,Crystal Castles,39,201509e4-b281-3404-9799-f013868e722f
1,11,R2F (Avenue D vs. Fluffy Target),Avenue D,37,7c7caf2f-dfc4-32ed-8c69-4d3ac86eef66
1,12,Dolls,Crystal Castles,35,4c902b0c-a052-320d-b9a4-6c2e1171319e
1,13,Alice Practice,Crystal Castles,33,11682f6b-cc14-3f9e-9b1d-7da2da24afff
1,14,Untrust Us,Crystal Castles,33,1021e62b-c3ae-3510-aac3-1b9806f56d3d
1,15,xxzxczx me,Crystal Castles,33,
1,16,She Fell Out,Crystal Castles,32,
1,17,Magic Spells,Crystal Castles,31,03e5394a-b1dd-3c23-8ab9-01f6c22d60c8
1,18,Meeting Paris Hilton,Cansei de Ser Sexy,30,2b71a8fb-0a73-36cc-9266-90599b34e705
1,19,Oblivion,Grimes,30,a808c12a-903c-4b57-84f8-a09fe3c03823
1,20,Meine Augen,Lederhosen Lucil,30,eaf66441-6b05-3dc8-908e-960f4eaea3d1
1,21,18-30's,Neon Plastix,30,8575fc85-a4e8-3d30-84c2-a6c6c81a0ee5
1,22,Livin' Proof,Group Home,29,5c1fee1f-e69d-38a3-beb9-7cd4e63a3182
1,23,Untitled Track,Ghostface Killah,28,
1,24,Where Eagles Dare,Misfits,28,0e920707-0785-324a-8f4d-f6af71131c10
1,25,Untitled,Neon Plastix,28,
1,26,Poorboy Lover Megamix,RJD2,28,
1,27,Pop the Glock,Uffie,28,95a4d85b-51d9-3d51-b49d-0e7c22970066
1,28,Bitter Hearts,Crystal Castles,27,e40733ff-ffb3-3986-a0aa-346593444a0c
1,29,Zelda Bitches,Porno Mathematics,27,
1,30,Hustler,Simian Mobile Disco,27,bb9768aa-3a19-38c5-9702-0ef7b715d20e
1,31,Promised Land,Skeletal Family,27,e4d70685-eed0-34af-b237-44ca69bb1dab
1,32,The Morning,The Weeknd,27,0a2af4c8-c688-4931-ba8e-5a7b0cea7c96
1,33,East 1999,Bone Thugs-N-Harmony,26,5bcae139-8ae6-4b15-a03f-83bcf041f6f0
1,34,Hay,Crucial Conflict,26,065d3e8a-3933-4128-8223-b8ab677f163e
1,35,Leni (Crystal Castles Remix),GoodBooks,26,
1,36,Genesis,Grimes,26,d64dfb83-5565-4d6f-988f-e9923db0b694
1,37,EARTHQUAKE,Hard Ton,26,1401a3cd-dabe-3ced-83d5-481eaa6316a4
1,38,Priceless Things (Tacteel Remix),Klanguage,26,99995eb2-d180-31cc-9811-dc31d7828b28
1,39,Gentlemans Gold,Neon Plastix,26,61efa624-98bc-38ff-be5d-9329dfa05f62
1,40,Pain,PinkPantheress,26,86c677d9-ecfd-4fc7-9a99-23cf73a95930
1,41,Into the Night,Julee Cruise,25,3b6baa0c-2403-321d-879d-9a0d387d056e
1,42,Rockin' Back Inside My Heart,Julee Cruise,25,ab6ca907-b32b-4f48-ae94-840767e33e4b
1,43,Break It Off - Bonus,PinkPantheress,25,
1,44,Starlett Johansson,The Teenagers,25,0107df12-518b-31ec-bfd9-ec5120dee853
1,45,Wicked Games,The Weeknd,25,1f1c6208-d476-46f3-b28f-f20999f572fe
1,46,Country House,Tycoon To$h,25,
1,47,Make it Hott,Crystal Castles,24,
