user_id,rank,album_name,artist_name,playcount,mbid
1,1,Visions,Grimes,243,0136a543-33fa-4b80-a8ca-4a6094db3b71
1,2,Only Built 4 Cuban Linx,Raekwon,240,c49af812-cb43-45ca-81e6-b81b7c287624
1,3,Tales From the Pantry,Lederhosen Lucil,204,1f195540-653f-4db4-bb74-e7d215de9bae
1,4,Crystal Castles,Crystal Castles,200,101f993f-d5e1-3f14-b40b-71850f1f435a
1,5,Klanguage,Klanguage,184,e82aa7a2-9d34-431f-9199-c8eba2df0261
1,6,Box Set,Misfits,183,
1,7,604,Ladytron,179,12b0278a-0dcc-4203-9b89-7d017da66e9c
1,8,Cansei de Ser Sexy,Cansei de Ser Sexy,171,267ae70d-6a82-4fd4-be60-d37bf25cde66
1,9,House of Balloons,The Weeknd,161,0391b278-6408-4909-8c0a-649d6f62dfb8
1,10,Brink Boys Presents: Cocainism Vol. 2,Raekwon,158,
1,11,6 Feet Deep,Gravediggaz,156,23396f94-0888-4003-95d1-1d0c96ce2674
1,12,For Screening Purposes Only,Test Icicles,154,ae8902ee-5bc1-3da2-85b2-c022c8770a55
1,13,The Great Adventures of Slick Rick,Slick Rick,153,35d3b74a-97a8-41cc-bb0b-b3c30b1279b6
1,14,Songs The Lord Taught Us,The Cramps,151,61c09eda-6a82-3d04-b9a8-6c04b1da0a65
1,15,Livin' Proof,Group Home,147,022ae7c9-9bc4-4a21-b0e8-45abb8446975
1,16,We Can't Be Stopped,Geto Boys,143,a4f2a194-38ca-49c3-8cb4-bf369a004b33
1,17,Enta Da Stage,Black Moon,141,0fe0a38b-7604-4c45-b12e-44d0067a474b
1,18,E. 1999 Eternal,Bone Thugs-N-Harmony,141,2bcf08af-493b-48c3-b410-28e50c6c8b1b
1,19,Dare Iz A Darkside,Redman,138,5e95d52a-badb-4cce-a067-019130a405ad
1,20,Uncle Sam's Curse,Above the Law,135,d206cfd6-cacd-4cec-9611-64745fae2c82
1,21,One for All,Brand Nubian,135,2257d35c-f5a3-4ea2-901c-692b0a5e37fc
1,22,Star of Love,Crystal Fighters,135,1b2936e7-7674-474a-bdb3-bb53f83d2ea9
1,23,Crazy Clown Time,David Lynch,130,18827e4a-f945-4bab-b2cc-ba342a296865
1,24,Give Up,The Postal Service,130,00161f8c-f335-465d-a944-597d67616d9a
1,25,Drukqs,Aphex Twin,129,4d35da90-c4f9-4d37-b68a-027225fca9cd
1,26,The Infamous,Mobb Deep,126,07e92711-51fe-4e80-97a3-be995b7f4119
1,27,Sing the Sorrow,AFI,125,
1,28,Untrue,Burial,124,02aa03a5-001b-4e5a-b3ad-23ad0fadb49c
1,29,Light & Magic,Ladytron,124,0174205d-532b-327c-8f79-91173aadb1b0
1,30,Doggystyle,Snoop Dogg,123,092bebff-dcf6-4fc4-8c34-837651703155
1,31,Livin' Like Hustlers,Above the Law,122,3e6eef58-ebef-4e28-a1bd-bbfa0e1e409c
1,32,Ice Cream,New Young Pony Club,122,017a8e19-fa90-4761-94ac-69a1a0e60a87
1,33,The Diary,Scarface,122,5615b89c-3677-47d9-9d88-20a022ecba72
1,34,Operation Ivy,Operation Ivy,121,0d042b03-1058-372d-9034-fabd8579df55
1,35,Small Craft on a Milk Sea,Brian Eno,119,1878f0a9-0514-30b8-80b7-fab6c6c5edfb
1,36,Special Gunpowder,DJ /rupture,119,18c95acc-aeec-3209-8474-5828c04a9448
1,37,Ready to Die,Notorious B.I.G.,119,
1,38,Only Theatre of Pain,Christian Death,118,1e13deb4-ad0c-46cc-acdd-87ff37baec40
1,39,How To Cut & Paste The Thirties Edition,DJ Yoda,118,
1,40,to hell with it,PinkPantheress,117,2ec40945-e292-48bf-a665-6a3ef5cc8f5f
1,41,The Best Of,Demented Are Go!,116,
1,42,Supreme Clientele,Ghostface,116,
1,43,A Book of Human Language,Aceyalone,114,40706e8a-2d34-46e8-8e65-313ab3cc6771
1,44,The Devil and God Are Raging Inside Me,Brand New,113,4591a2e7-abad-4c8c-a717-8b61cb461cc2
1,45,Firey Diary,GZA/Genius,113,
1,46,Tha Carter III,Lil' Wayne,113,0d1379b2-6b9d-4a90-b122-0a5755a45143
1,47,AmeriKKKa's Nightmare,Spice 1,113,e000804e-5320-445a-8ee1-d6d285e44a0f
1,48,Just as I Am,Bill Withers,112,3e9fdf77-190d-3548-9bfa-4de8f7ffdc57
1,49,21 & Over,Tha Alkaholiks,112,3c7ed994-1cd9-4e66-b18c-dfed3a060bfa
1,50,Little Armenia (L.A.),Bei Ru,111,a320f30c-3d91-40a3-9721-605e48b88249
2,1,I Was Trying To Describe You To Someone,Crime In Stereo,294,131b4d0f-4b98-40ee-a962-40c2287d87ab
2,2,House & Trance,Crime In Stereo,285,e8d82572-31e0-4b2c-bb8d-8bba2d2fc7cc
2,3,The Troubled Stateside,Crime In Stereo,263,c260ca37-f940-4a90-a523-8f620ef5118a
2,4,SOS,SZA,229,b82458a3-7d3a-495f-861f-8698731c4dd0
2,5,Petals for Armor,Hayley Williams,215,7978669a-a528-4c78-b366-de7825cd9733
2,6,High,Royal Headache,210,99f40654-86ef-4775-8cee-6155103c8c5f
2,7,GLOW ON,Turnstile,206,8f914f2d-d449-4349-8463-f654867b0f35
2,8,Blanket of Calm,Healing Potpourri,196,6cbc9ed7-7ceb-4118-bb0c-092dc66b1ecd
2,9,Winter Wheat,John K. Samson,195,2dfc3d26-3a8c-478d-b376-04c0c6b815e4
2,10,Dragon New Warm Mountain I Believe in You,Big Thief,194,e62d86f9-b110-4923-9536-56444ef6d829
2,11,Kingprince,Cassino,192,622bc208-0dbd-47ee-9f55-fe58026954ec
